query,url
"Information Technology Act, 2000",https://indiankanoon.org/doc/612223/
"Information Technology Act, 2000",https://indiankanoon.org/doc/1591026/
"Information Technology Act, 2000",https://indiankanoon.org/doc/731651/
"Information Technology Act, 2000",https://indiankanoon.org/doc/361669/
"Information Technology Act, 2000",https://indiankanoon.org/doc/1009777/
"Information Technology Act, 2000",https://indiankanoon.org/doc/916553/
"Information Technology Act, 2000",https://indiankanoon.org/doc/80680324/
"Information Technology Act, 2000",https://indiankanoon.org/doc/166473284/
"Information Technology Act, 2000",https://indiankanoon.org/doc/1082409/
"Information Technology Act, 2000",https://indiankanoon.org/doc/106027784/
"Information Technology Act, 2000",https://indiankanoon.org/doc/145105/
"Information Technology Act, 2000",https://indiankanoon.org/doc/308738/
"Information Technology Act, 2000",https://indiankanoon.org/doc/40805836/
"Information Technology Act, 2000",https://indiankanoon.org/doc/201009/
"Information Technology Act, 2000",https://indiankanoon.org/doc/92149054/
"Information Technology Act, 2000",https://indiankanoon.org/doc/126953958/
"Information Technology Act, 2000",https://indiankanoon.org/doc/190567098/
"Information Technology Act, 2000",https://indiankanoon.org/doc/128287281/
"Information Technology Act, 2000",https://indiankanoon.org/doc/165190331/
"Information Technology Act, 2000",https://indiankanoon.org/doc/139709785/
"Information Technology Act, 2000",https://indiankanoon.org/doc/130410154/
"Information Technology Act, 2000",https://indiankanoon.org/doc/50795041/
"Information Technology Act, 2000",https://indiankanoon.org/doc/170358813/
"Information Technology Act, 2000",https://indiankanoon.org/doc/1191451/
"Information Technology Act, 2000",https://indiankanoon.org/doc/13786730/
"Information Technology Act, 2000",https://indiankanoon.org/doc/113835437/
"Information Technology Act, 2000",https://indiankanoon.org/doc/91314056/
"Information Technology Act, 2000",https://indiankanoon.org/doc/1131053/
"Information Technology Act, 2000",https://indiankanoon.org/doc/179639914/
"Information Technology Act, 2000",https://indiankanoon.org/doc/56699948/
"Information Technology Act, 2000",https://indiankanoon.org/doc/72543035/
"Information Technology Act, 2000",https://indiankanoon.org/doc/23049476/
"Information Technology Act, 2000",https://indiankanoon.org/doc/182088515/
"Information Technology Act, 2000",https://indiankanoon.org/doc/132237971/
"Information Technology Act, 2000",https://indiankanoon.org/doc/88786836/
"Information Technology Act, 2000",https://indiankanoon.org/doc/37078038/
"Information Technology Act, 2000",https://indiankanoon.org/doc/7614885/
"Information Technology Act, 2000",https://indiankanoon.org/doc/196408377/
"Information Technology Act, 2000",https://indiankanoon.org/doc/196469930/
"Information Technology Act, 2000",https://indiankanoon.org/doc/145067366/
"Information Technology Act, 2000",https://indiankanoon.org/doc/54838274/
"Information Technology Act, 2000",https://indiankanoon.org/doc/4854733/
"Information Technology Act, 2000",https://indiankanoon.org/doc/26927720/
"Information Technology Act, 2000",https://indiankanoon.org/doc/154081320/
"Information Technology Act, 2000",https://indiankanoon.org/doc/110644504/
"Information Technology Act, 2000",https://indiankanoon.org/doc/148783053/
"Information Technology Act, 2000",https://indiankanoon.org/doc/45174395/
"Information Technology Act, 2000",https://indiankanoon.org/doc/52491729/
"Information Technology Act, 2000",https://indiankanoon.org/doc/107638087/
"Information Technology Act, 2000",https://indiankanoon.org/doc/70981105/
